disclosure_id,tx_id,disclosed_at,disclosed_fee,disclosed_fx_rate,disclosed_receive_amount,disclosed_delivery_window,receipt_sent_at,cancellation_deadline,created_at
DSC_CB4B871F45EC,TXN_9AEA40580AF5,2025-10-29T21:18:12.213307,3.16,57.325754,32448.1,Within 1 hour,2025-10-29T22:27:55.386196,2025-10-29T21:58:12.213307,2026-03-24 16:14:12
DSC_B10FF554AE23,TXN_BAFE754E7926,2026-01-03T14:12:12.213307,5.05,2067.100604,3784943.89,Within 1 hour,2026-01-03T15:16:28.176168,2026-01-03T14:50:12.213307,2026-03-24 16:14:12
DSC_ECA7A0999462,TXN_2122556DB1CD,2026-02-01T04:46:12.213307,6.94,2066.111719,1087828.48,Within 1 hour,,2026-02-01T05:22:12.213307,2026-03-24 16:14:12
DSC_CF2188E10DEC,TXN_AA7A2A952083,2025-10-29T02:50:12.213307,5.53,2028.015716,3822383.74,Within 1 hour,2025-10-29T03:38:51.821862,2025-10-29T03:24:12.213307,2026-03-24 16:14:12
DSC_75D9E0627C74,TXN_38B95AA0EF7D,2025-08-05T20:34:12.213307,4.07,169.764782,232448.73,Within 15 minutes,2025-08-05T21:16:25.336948,2025-08-05T21:10:12.213307,2026-03-24 16:14:12
DSC_3822997B523B,TXN_58725CA448D8,2026-01-18T05:49:12.213307,4.69,2072.221971,3604650.84,Within 1 hour,,2026-01-18T06:26:12.213307,2026-03-24 16:14:12
DSC_20F85187A3F1,TXN_5FCA38A4E547,2025-08-25T07:40:12.213307,7.66,2021.64778,1272000.57,Within 1 hour,,2025-08-25T08:18:12.213307,2026-03-24 16:14:12
DSC_90C0FADE0AD7,TXN_CFA9D06BDAD2,2025-06-05T22:44:12.213307,6.34,2088.90852,3037920.55,Within 1 hour,2025-06-05T23:41:35.834890,2025-06-05T23:21:12.213307,2026-03-24 16:14:12
DSC_EEB31E4AB94D,TXN_7D4A2727866E,2025-10-09T03:25:12.213307,4.24,58.341832,85124.23,Within 30 minutes,2025-10-09T03:58:27.380722,2025-10-09T04:02:12.213307,2026-03-24 16:14:12
DSC_FFF9D18D28C0,TXN_354EDA0021BC,2025-07-16T04:25:12.213307,5.11,166.679525,197685.25,Within 24 hours,2025-07-16T15:28:46.573707,2025-07-16T05:04:12.213307,2026-03-24 16:14:12
