tx_id,customer_id,corridor,send_country,receive_country,send_amount,send_currency,receive_amount,receive_currency,disclosed_fee,charged_fee,disclosed_fx_rate,applied_fx_rate,transfer_method,promised_delivery_ts,actual_delivery_ts,status,created_at
TXN_9AEA40580AF5,CUS_AE72E89A3CFA,US->PH,US,PH,566.03,USD,32448.1,PHP,3.16,3.16,57.325754,57.325754,cash_pickup,2025-10-29T22:28:12.213307,2025-10-29T21:57:55.386196,completed,2025-10-29T21:28:12.213307
TXN_BAFE754E7926,CUS_32FC67521D8D,UK->NG,UK,NG,1831.04,GBP,3784943.89,NGN,5.05,5.05,2067.100604,2067.100604,mobile_money,2026-01-03T15:20:12.213307,2026-01-03T15:09:28.176168,completed,2026-01-03T14:20:12.213307
TXN_2122556DB1CD,CUS_1530B519EE87,UK->NG,UK,NG,526.51,GBP,1087828.48,NGN,6.94,6.94,2066.111719,2066.111719,mobile_money,2026-02-01T05:52:12.213307,,pending,2026-02-01T04:52:12.213307
TXN_AA7A2A952083,CUS_9A2ACDB15B75,UK->NG,UK,NG,1884.79,GBP,3822383.74,NGN,5.53,5.53,2028.015716,2028.015716,mobile_money,2025-10-29T03:54:12.213307,2025-10-29T03:15:51.821862,completed,2025-10-29T02:54:12.213307
TXN_38B95AA0EF7D,CUS_88EEDB45D611,UK->KE,UK,KE,1369.24,GBP,232448.73,KES,4.07,4.07,169.764782,169.764782,mobile_money,2025-08-05T20:55:12.213307,2025-08-05T20:49:25.336948,completed,2025-08-05T20:40:12.213307
TXN_58725CA448D8,CUS_D67DF86EC15B,UK->NG,UK,NG,1739.51,GBP,3604650.84,NGN,4.69,4.69,2072.221971,2072.221971,mobile_money,2026-01-18T06:56:12.213307,,failed,2026-01-18T05:56:12.213307
TXN_5FCA38A4E547,CUS_FEC048729AF5,UK->NG,UK,NG,629.19,GBP,1272000.57,NGN,7.66,7.66,2021.64778,2021.64778,mobile_money,2025-08-25T08:48:12.213307,2025-08-25T08:15:18.365941,completed,2025-08-25T07:48:12.213307
TXN_CFA9D06BDAD2,CUS_7DF5B136F0F3,UK->NG,UK,NG,1454.31,GBP,3037920.55,NGN,6.34,6.34,2088.90852,2088.90852,mobile_money,2025-06-05T23:51:12.213307,2025-06-08T22:33:55.435897,completed,2025-06-05T22:51:12.213307
TXN_7D4A2727866E,CUS_5130C71488DA,US->PH,US,PH,1459.06,USD,85124.23,PHP,4.24,4.24,58.341832,58.341832,mobile_money,2025-10-09T04:02:12.213307,2025-10-09T03:53:27.380722,completed,2025-10-09T03:32:12.213307
TXN_354EDA0021BC,CUS_E6C656B89FC0,UK->KE,UK,KE,1186.02,GBP,197685.25,KES,5.11,5.11,166.679525,166.679525,bank_deposit,2025-07-17T04:34:12.213307,2025-07-16T15:06:46.573707,completed,2025-07-16T04:34:12.213307
TXN_17F4AB7B301E,CUS_4E566ECEC8C2,UK->KE,UK,KE,1442.01,GBP,238380.05,KES,3.02,3.02,165.310956,165.310956,bank_deposit,2026-01-25T22:23:12.213307,2026-01-25T18:52:37.464615,completed,2026-01-24T22:23:12.213307
TXN_DD85A4E8E0A3,CUS_DCB4E6E6125B,US->PH,US,PH,478.45,USD,26552.82,PHP,3.62,3.62,56.447999,55.497581,cash_pickup,2025-04-15T22:34:12.213307,2025-04-15T22:14:52.923557,completed,2025-04-15T21:34:12.213307
TXN_15C3317CC42C,CUS_1CC12671DC1C,US->IN,US,IN,196.89,USD,16234.47,INR,2.41,2.41,84.072551,82.454518,bank_deposit,2025-07-21T03:12:12.213307,2025-07-21T02:54:21.367622,completed,2025-07-21T01:12:12.213307
TXN_723DD629A62B,CUS_2A02A94CFECA,US->PH,US,PH,265.74,USD,15155.51,PHP,5.22,5.38,57.031341,57.031341,cash_pickup,2025-06-08T15:16:12.213307,2025-06-09T11:06:11.940766,completed,2025-06-08T14:16:12.213307
TXN_BD233AC7C118,CUS_B1E154944560,US->IN,US,IN,257.49,USD,21554.1,INR,1.78,1.78,83.708493,83.708493,bank_deposit,2025-10-17T13:53:12.213307,2025-10-17T12:36:34.598947,completed,2025-10-17T11:53:12.213307
TXN_8EE46431EF17,CUS_34609584CBE7,UK->KE,UK,KE,1835.15,GBP,303265.41,KES,3.62,3.62,165.253744,165.253744,mobile_money,2025-09-27T06:38:12.213307,2025-09-28T10:48:34.642415,completed,2025-09-27T06:23:12.213307
TXN_7458C558A9E3,CUS_849DFCD343AC,UK->NG,UK,NG,315.23,GBP,646514.47,NGN,5.21,5.21,2050.929397,2050.929397,bank_deposit,2025-06-25T17:33:12.213307,2025-06-26T21:03:14.079755,completed,2025-06-23T17:33:12.213307
TXN_49B751BB7EFA,CUS_93BB76E9A1C7,UK->NG,UK,NG,1493.75,GBP,3077766.47,NGN,6.28,6.28,2060.429436,2060.429436,bank_deposit,2025-10-23T16:51:12.213307,2025-10-22T13:51:29.595944,completed,2025-10-21T16:51:12.213307
TXN_C6B78BA3C623,CUS_788654EE3D0A,UK->KE,UK,KE,856.09,GBP,141723,KES,4.55,4.55,165.546844,165.546844,bank_deposit,2025-06-05T15:33:12.213307,2025-06-05T01:27:16.533610,completed,2025-06-04T15:33:12.213307
TXN_728256FCE631,CUS_B55F9B9F2D2B,US->MX,US,MX,1991.43,USD,36246.85,MXN,4.15,4.15,18.201419,18.201419,bank_deposit,2025-05-26T23:17:12.213307,,pending,2025-05-26T19:17:12.213307
TXN_27361FE32669,CUS_E827CDB4798C,UK->NG,UK,NG,1322.21,GBP,2704583.46,NGN,5.88,5.88,2045.502194,2045.502194,bank_deposit,2025-08-29T23:02:12.213307,2025-08-29T17:14:38.936335,completed,2025-08-27T23:02:12.213307
TXN_CC53829A8EDC,CUS_DDE9F724D294,UK->KE,UK,KE,908.69,GBP,152236.99,KES,3.6,3.6,167.53457,167.53457,mobile_money,2025-07-11T02:37:12.213307,2025-07-11T02:36:18.053672,completed,2025-07-11T02:22:12.213307
TXN_0AFC72BCB2D3,CUS_434BD7F54D15,US->PH,US,PH,951.42,USD,54219.05,PHP,4.43,4.69,56.987503,56.987503,mobile_money,2025-06-25T16:18:12.213307,2025-06-25T16:10:26.912525,completed,2025-06-25T15:48:12.213307
TXN_495FF8EF449A,CUS_7F75246CCA1E,UK->NG,UK,NG,1220.72,GBP,2468193.52,NGN,6.87,6.87,2021.916178,2021.916178,mobile_money,2026-01-21T09:52:12.213307,2026-01-21T09:12:39.630552,completed,2026-01-21T08:52:12.213307
TXN_645D589C9462,CUS_BBB595F6F53F,US->IN,US,IN,1683.45,USD,141463,INR,3.21,3.21,84.031602,84.031602,bank_deposit,2025-06-12T19:11:12.213307,2025-06-14T10:55:23.404013,completed,2025-06-12T17:11:12.213307
TXN_6D3A7AD7516E,CUS_77D47F971EBA,US->IN,US,IN,116.35,USD,9775.59,INR,1.03,1.03,84.018849,84.018849,bank_deposit,2025-08-10T07:57:12.213307,,pending,2025-08-10T05:57:12.213307
TXN_F73F180C7F09,CUS_9869C2D918AB,US->PH,US,PH,1677.97,USD,95616.3,PHP,3.92,3.92,56.983322,56.983322,bank_deposit,2026-03-21T10:43:12.213307,,cancelled,2026-03-20T10:43:12.213307
TXN_2B4FA4E4E6B0,CUS_C75BFB589DF9,US->MX,US,MX,1963.58,USD,35039.84,MXN,2.35,2.35,17.844874,17.844874,bank_deposit,2025-07-28T05:44:12.213307,2025-07-28T05:17:42.821312,completed,2025-07-28T01:44:12.213307
TXN_761481949C72,CUS_D10D1D328A57,US->IN,US,IN,348.2,USD,29569.33,INR,1.02,1.02,84.920522,84.920522,bank_deposit,2025-12-14T13:55:12.213307,2025-12-14T13:40:16.673144,completed,2025-12-14T11:55:12.213307
TXN_B79B9AED397B,CUS_7EACED528952,US->PH,US,PH,246.73,USD,14298.7,PHP,3.31,3.31,57.952805,57.952805,mobile_money,2025-07-07T13:35:12.213307,2025-07-10T08:13:09.600982,completed,2025-07-07T13:05:12.213307
TXN_D7F5A9B0C943,CUS_F484424C2225,US->PH,US,PH,1631.39,USD,94651.43,PHP,4.87,4.87,58.018887,58.018887,cash_pickup,2026-02-04T23:40:12.213307,2026-02-04T23:16:43.162171,completed,2026-02-04T22:40:12.213307
TXN_6E96BE4C05D7,CUS_CB3680C4C54A,UK->KE,UK,KE,148.34,GBP,24652.83,KES,3.57,3.57,166.191408,166.191408,mobile_money,2026-01-06T02:31:12.213307,2026-01-06T02:24:38.050655,completed,2026-01-06T02:16:12.213307
TXN_AC9AFE2F5B80,CUS_94CA94BB29B1,UK->NG,UK,NG,1589.97,GBP,3260558.45,NGN,6.21,6.21,2050.704385,2050.704385,bank_deposit,2025-06-05T08:25:12.213307,2025-06-04T13:53:20.940080,completed,2025-06-03T08:25:12.213307
TXN_46261A7D6F20,CUS_A8B850DCA794,US->PH,US,PH,436.12,USD,25322.59,PHP,5.03,5.03,58.063363,58.063363,cash_pickup,2026-03-02T00:54:12.213307,2026-03-02T00:19:54.487854,completed,2026-03-01T23:54:12.213307
TXN_BDF19B283785,CUS_517CF415E946,UK->KE,UK,KE,588.02,GBP,98880,KES,3.68,3.68,168.157543,168.157543,bank_deposit,2025-12-31T16:31:12.213307,,pending,2025-12-30T16:31:12.213307
TXN_386B3F9263D8,CUS_FEC048729AF5,UK->KE,UK,KE,740.98,GBP,126773.38,KES,4.05,4.05,171.088801,171.088801,bank_deposit,2025-11-12T20:08:12.213307,2025-11-12T11:01:04.143864,completed,2025-11-11T20:08:12.213307
TXN_6182AFBF319E,CUS_4671393B9C6C,US->MX,US,MX,437.47,USD,7879.29,MXN,3.26,3.26,18.011052,18.011052,cash_pickup,2025-12-30T10:47:12.213307,2025-12-30T10:07:16.565672,completed,2025-12-30T09:47:12.213307
TXN_4F639D6AD231,CUS_6DF1D0854EE1,UK->NG,UK,NG,432.25,GBP,879856.29,NGN,6.46,6.46,2035.526409,2035.526409,mobile_money,2026-02-24T11:13:12.213307,,pending,2026-02-24T10:13:12.213307
TXN_BF9A7E8B51B1,CUS_5418F3DDF20A,US->IN,US,IN,372.77,USD,30995.58,INR,2.48,2.48,83.149339,83.149339,bank_deposit,2025-12-05T19:05:12.213307,2025-12-05T17:42:00.050318,completed,2025-12-05T17:05:12.213307
TXN_8A07190F7937,CUS_36DED683526B,US->MX,US,MX,905.9,USD,16314.56,MXN,2.86,2.86,18.009225,18.009225,bank_deposit,2025-08-26T18:42:12.213307,2025-08-26T17:11:08.257871,completed,2025-08-26T14:42:12.213307
TXN_A98A1EDBA0CC,CUS_D274DEFAD9DF,US->PH,US,PH,239.14,USD,13598.01,PHP,3.31,3.31,56.862133,56.862133,mobile_money,2025-09-24T00:26:12.213307,2025-09-24T00:18:54.023197,completed,2025-09-23T23:56:12.213307
TXN_F9A859D79186,CUS_23DCB120505A,UK->KE,UK,KE,1854.6,GBP,311426.22,KES,3.68,3.68,167.920966,167.920966,mobile_money,2025-07-09T07:30:12.213307,,pending,2025-07-09T07:15:12.213307
TXN_53DC8E160413,CUS_281A5608887C,UK->KE,UK,KE,491.74,GBP,81986.41,KES,4.35,4.52,166.727153,166.727153,bank_deposit,2025-04-10T02:00:12.213307,2025-04-09T11:15:22.954279,completed,2025-04-09T02:00:12.213307
TXN_DD76547858E6,CUS_2C9ED5CB43D3,US->MX,US,MX,147.84,USD,2550.12,MXN,2.19,2.19,17.541241,17.249165,bank_deposit,2026-01-12T09:06:12.213307,2026-01-14T02:44:22.749353,completed,2026-01-12T05:06:12.213307
TXN_39DEA1DEE071,CUS_8032EDDF3EA3,UK->NG,UK,NG,1775.56,GBP,3617169.89,NGN,6.72,6.72,2037.19947,2037.19947,mobile_money,2026-01-23T08:31:12.213307,2026-01-23T08:04:09.412541,completed,2026-01-23T07:31:12.213307
TXN_335B45883F60,CUS_360444F8AC9D,UK->NG,UK,NG,1036.78,GBP,2144197.9,NGN,4.07,4.07,2068.132008,2068.132008,bank_deposit,2025-11-17T06:58:12.213307,2025-11-16T01:11:43.756937,completed,2025-11-15T06:58:12.213307
TXN_73814802F4B4,CUS_23DCB120505A,UK->KE,UK,KE,1530.8,GBP,261925.31,KES,3.43,3.43,171.103548,171.103548,bank_deposit,2025-04-07T05:27:12.213307,2025-04-06T22:02:30.581320,completed,2025-04-06T05:27:12.213307
TXN_644BC879CCB9,CUS_FD980080C4D3,UK->KE,UK,KE,1948.92,GBP,323852.69,KES,4.33,4.33,166.170335,166.170335,bank_deposit,2025-08-13T01:00:12.213307,2025-08-12T14:59:05.345425,completed,2025-08-12T01:00:12.213307
TXN_A31F9BDCE5F9,CUS_3C68522D5ED3,US->MX,US,MX,1251.5,USD,21949.88,MXN,2.56,2.56,17.538859,17.538859,cash_pickup,2025-09-19T00:40:12.213307,2025-09-19T00:09:00.623636,completed,2025-09-18T23:40:12.213307
TXN_3E073D6E7BA5,CUS_7DF5B136F0F3,UK->KE,UK,KE,254.32,GBP,43125.31,KES,4.29,4.29,169.571048,169.571048,mobile_money,2025-07-17T16:24:12.213307,2025-07-17T16:16:17.912859,completed,2025-07-17T16:09:12.213307
TXN_807DB2F85E59,CUS_D9EFC38CB8A3,UK->KE,UK,KE,1850.95,GBP,315937.04,KES,3.92,3.92,170.689126,170.689126,mobile_money,2026-03-05T09:26:12.213307,2026-03-05T09:17:23.161910,completed,2026-03-05T09:11:12.213307
TXN_FA0583EAA995,CUS_AE72E89A3CFA,US->PH,US,PH,1717.85,USD,98583.59,PHP,5.81,5.81,57.954258,57.387774,bank_deposit,2025-07-21T23:12:12.213307,2025-07-22T16:52:56.085919,completed,2025-07-20T23:12:12.213307
TXN_3AF8B1ECFFCF,CUS_BBB595F6F53F,US->MX,US,MX,1519.78,USD,26791.39,MXN,4.64,4.64,17.628465,17.628465,cash_pickup,2025-11-08T18:41:12.213307,2025-11-08T17:59:31.409653,completed,2025-11-08T17:41:12.213307
TXN_F62299B5D8B2,CUS_EBC741324301,US->MX,US,MX,377.94,USD,6689.63,MXN,4.94,4.94,17.700237,17.700237,cash_pickup,2025-05-06T02:56:12.213307,,pending,2025-05-06T01:56:12.213307
TXN_D82FFE1B3339,CUS_520622F2BE39,UK->NG,UK,NG,1275.06,GBP,2659336.75,NGN,6.98,6.98,2085.656167,2085.656167,bank_deposit,2025-07-02T05:41:12.213307,,failed,2025-06-30T05:41:12.213307
TXN_7EBFB5AF4B5F,CUS_216715997E38,UK->KE,UK,KE,1920.25,GBP,321316.4,KES,3.55,3.55,167.330505,167.330505,bank_deposit,2026-01-09T19:41:12.213307,2026-01-12T05:11:53.536461,completed,2026-01-08T19:41:12.213307
TXN_9257368812C7,CUS_EBE69074B43F,UK->NG,UK,NG,220.19,GBP,455621.09,NGN,6.32,6.32,2069.217923,2069.217923,mobile_money,2025-05-17T00:58:12.213307,2025-05-17T00:21:02.399085,completed,2025-05-16T23:58:12.213307
TXN_D67BA1113812,CUS_A9E11850E6B1,UK->NG,UK,NG,1162.85,GBP,2360354.18,NGN,6.69,6.69,2029.801075,2029.801075,bank_deposit,2025-11-24T04:15:12.213307,,failed,2025-11-22T04:15:12.213307
TXN_B0EF09F32770,CUS_66F4F5AEA081,UK->KE,UK,KE,1663.32,GBP,278480.08,KES,5.71,5.71,167.424238,167.424238,mobile_money,2026-01-03T00:23:12.213307,2026-01-03T00:22:10.833813,completed,2026-01-03T00:08:12.213307
TXN_1D84F4CA53BF,CUS_72D51267A10E,US->PH,US,PH,1943.25,USD,109132.11,PHP,3.34,3.34,56.159585,56.159585,cash_pickup,2026-01-27T10:16:12.213307,2026-01-27T09:37:34.170950,completed,2026-01-27T09:16:12.213307
TXN_A7DBFADFD013,CUS_1855B76E9822,UK->KE,UK,KE,1358.6,GBP,228208.23,KES,3.42,3.42,167.973084,167.973084,bank_deposit,2025-10-29T06:58:12.213307,2025-10-30T04:52:54.707639,completed,2025-10-28T06:58:12.213307
TXN_DBE2F7441A10,CUS_C91343B123D3,UK->NG,UK,NG,76.7,GBP,157716.57,NGN,6.88,6.88,2056.278625,2056.278625,bank_deposit,2026-03-19T07:37:12.213307,,cancelled,2026-03-17T07:37:12.213307
TXN_8BF2EC3BE94E,CUS_F28ACFA0A90C,UK->NG,UK,NG,1001.75,GBP,2043277.47,NGN,5.08,5.46,2039.707984,2039.707984,bank_deposit,2025-12-18T05:45:12.213307,2025-12-17T13:36:31.189101,completed,2025-12-16T05:45:12.213307
TXN_B9CF77657B80,CUS_4805AE181E6B,US->MX,US,MX,1718.18,USD,30429.74,MXN,2.9,2.9,17.710452,17.710452,cash_pickup,2025-04-26T10:56:12.213307,2025-04-26T10:43:51.075127,completed,2025-04-26T09:56:12.213307
