violation_id,tx_id,rule_id,severity,disclosed_value,actual_value,delta,delta_pct,description,detected_at
VIO_DEB28CC22C4A,TXN_723DD629A62B,R1,medium,5.22,5.38,0.16,3.0651,Charged fee $5.38 exceeds disclosed fee $5.22 by 3.1%,2026-03-24 16:14:12
VIO_9A7D43A47F90,TXN_0AFC72BCB2D3,R1,high,4.43,4.69,0.26,5.8691,Charged fee $4.69 exceeds disclosed fee $4.43 by 5.9%,2026-03-24 16:14:12
VIO_445C0A882E14,TXN_53DC8E160413,R1,medium,4.35,4.52,0.17,3.908,Charged fee $4.52 exceeds disclosed fee $4.35 by 3.9%,2026-03-24 16:14:12
VIO_76815144FD41,TXN_8BF2EC3BE94E,R1,high,5.08,5.46,0.38,7.4803,Charged fee $5.46 exceeds disclosed fee $5.08 by 7.5%,2026-03-24 16:14:12
VIO_207A64AA238E,TXN_A39BD957B1D6,R1,high,3.58,3.81,0.23,6.4246,Charged fee $3.81 exceeds disclosed fee $3.58 by 6.4%,2026-03-24 16:14:12
VIO_85E15C622DAB,TXN_98C490C0B5E2,R1,medium,3.2,3.31,0.11,3.4375,Charged fee $3.31 exceeds disclosed fee $3.20 by 3.4%,2026-03-24 16:14:12
VIO_9F981D458DDD,TXN_099C7ACBCD57,R1,high,2.55,2.68,0.13,5.098,Charged fee $2.68 exceeds disclosed fee $2.55 by 5.1%,2026-03-24 16:14:12
VIO_96CFA8EACE2E,TXN_A7872D26339D,R1,high,4.07,4.39,0.32,7.8624,Charged fee $4.39 exceeds disclosed fee $4.07 by 7.9%,2026-03-24 16:14:12
VIO_276E69308FBB,TXN_B59AF8A3B79C,R1,medium,3.63,3.75,0.12,3.3058,Charged fee $3.75 exceeds disclosed fee $3.63 by 3.3%,2026-03-24 16:14:12
VIO_C3457A51027A,TXN_9896DADAD062,R1,medium,4.43,4.58,0.15,3.386,Charged fee $4.58 exceeds disclosed fee $4.43 by 3.4%,2026-03-24 16:14:12
VIO_165BCC97255C,TXN_05A6BB84CE0A,R1,medium,5.71,5.92,0.21,3.6778,Charged fee $5.92 exceeds disclosed fee $5.71 by 3.7%,2026-03-24 16:14:12
VIO_B4CC324912FF,TXN_EDD48D4735CA,R1,high,7.22,7.76,0.54,7.4792,Charged fee $7.76 exceeds disclosed fee $7.22 by 7.5%,2026-03-24 16:14:12
VIO_A507D5988D45,TXN_7F336B3C7D35,R1,medium,6.18,6.46,0.28,4.5307,Charged fee $6.46 exceeds disclosed fee $6.18 by 4.5%,2026-03-24 16:14:12
VIO_317DCA1AC94E,TXN_52CAE68B2FAE,R1,medium,4.56,4.66,0.1,2.193,Charged fee $4.66 exceeds disclosed fee $4.56 by 2.2%,2026-03-24 16:14:12
VIO_D440F59A9966,TXN_A3EDF3C7EA81,R1,high,2.47,2.6,0.13,5.2632,Charged fee $2.60 exceeds disclosed fee $2.47 by 5.3%,2026-03-24 16:14:12
VIO_A1459527F3F9,TXN_CFF398CFE37F,R1,high,4.39,4.68,0.29,6.6059,Charged fee $4.68 exceeds disclosed fee $4.39 by 6.6%,2026-03-24 16:14:12
VIO_8F17CE8684ED,TXN_52BD1731D426,R1,medium,4.64,4.74,0.1,2.1552,Charged fee $4.74 exceeds disclosed fee $4.64 by 2.2%,2026-03-24 16:14:12
VIO_3A9DBA912F38,TXN_E4F01E52E583,R1,medium,7.47,7.76,0.29,3.8822,Charged fee $7.76 exceeds disclosed fee $7.47 by 3.9%,2026-03-24 16:14:12
VIO_449A76CE09B4,TXN_2AB5669338A8,R1,medium,3.8,3.9,0.1,2.6316,Charged fee $3.90 exceeds disclosed fee $3.80 by 2.6%,2026-03-24 16:14:12
VIO_63D464E2228A,TXN_C098EDA219EF,R1,medium,4.95,5.1,0.15,3.0303,Charged fee $5.10 exceeds disclosed fee $4.95 by 3.0%,2026-03-24 16:14:12
VIO_3B77EED76D23,TXN_6D174D221F65,R1,high,2.99,3.22,0.23,7.6923,Charged fee $3.22 exceeds disclosed fee $2.99 by 7.7%,2026-03-24 16:14:12
VIO_870D61CB2888,TXN_A7FE770AF70A,R1,medium,1.45,1.52,0.07,4.8276,Charged fee $1.52 exceeds disclosed fee $1.45 by 4.8%,2026-03-24 16:14:12
VIO_B0882FB68F00,TXN_F934CAFEB777,R1,high,3.04,3.24,0.2,6.5789,Charged fee $3.24 exceeds disclosed fee $3.04 by 6.6%,2026-03-24 16:14:12
VIO_833A31D37B6B,TXN_85DB7AB89CC9,R1,medium,2.7,2.8,0.1,3.7037,Charged fee $2.80 exceeds disclosed fee $2.70 by 3.7%,2026-03-24 16:14:12
VIO_1ABCC455A153,TXN_38270619D2E2,R1,high,6.29,6.76,0.47,7.4722,Charged fee $6.76 exceeds disclosed fee $6.29 by 7.5%,2026-03-24 16:14:12
VIO_B15F33DD455B,TXN_15E057D012EB,R1,medium,4.6,4.73,0.13,2.8261,Charged fee $4.73 exceeds disclosed fee $4.60 by 2.8%,2026-03-24 16:14:12
VIO_215D5572E270,TXN_433DA140F9A6,R1,high,6.67,7.08,0.41,6.1469,Charged fee $7.08 exceeds disclosed fee $6.67 by 6.1%,2026-03-24 16:14:12
VIO_47DFE3DDCAE2,TXN_CCA3C659A516,R1,high,3.33,3.57,0.24,7.2072,Charged fee $3.57 exceeds disclosed fee $3.33 by 7.2%,2026-03-24 16:14:12
VIO_439BBB3D0833,TXN_AC83948BDE63,R1,high,5.37,5.72,0.35,6.5177,Charged fee $5.72 exceeds disclosed fee $5.37 by 6.5%,2026-03-24 16:14:12
VIO_AC5EEAD6152F,TXN_567586F2350A,R1,medium,5.57,5.69,0.12,2.1544,Charged fee $5.69 exceeds disclosed fee $5.57 by 2.2%,2026-03-24 16:14:12
VIO_A7D827E17A3C,TXN_71B17690595D,R1,medium,4.98,5.1,0.12,2.4096,Charged fee $5.10 exceeds disclosed fee $4.98 by 2.4%,2026-03-24 16:14:12
VIO_97D6DDC89DA8,TXN_5831C4AAE312,R1,medium,3.07,3.2,0.13,4.2345,Charged fee $3.20 exceeds disclosed fee $3.07 by 4.2%,2026-03-24 16:14:12
VIO_56ADD531663B,TXN_84E72E7EFCE0,R1,medium,2.19,2.29,0.1,4.5662,Charged fee $2.29 exceeds disclosed fee $2.19 by 4.6%,2026-03-24 16:14:12
VIO_D60B5126C29B,TXN_57A5B86003DC,R1,high,5.65,6.07,0.42,7.4336,Charged fee $6.07 exceeds disclosed fee $5.65 by 7.4%,2026-03-24 16:14:12
VIO_C51F1FEEC5EB,TXN_286F29253C54,R1,high,3.8,4.09,0.29,7.6316,Charged fee $4.09 exceeds disclosed fee $3.80 by 7.6%,2026-03-24 16:14:12
VIO_A2581A9DCF6D,TXN_A5424EC5B0E2,R1,high,4.38,4.73,0.35,7.9909,Charged fee $4.73 exceeds disclosed fee $4.38 by 8.0%,2026-03-24 16:14:12
VIO_2A0EFF8D5272,TXN_03C73D39F168,R1,high,3.33,3.55,0.22,6.6066,Charged fee $3.55 exceeds disclosed fee $3.33 by 6.6%,2026-03-24 16:14:12
VIO_448FC4A42D4E,TXN_019F8C94CB5F,R1,high,4.64,5,0.36,7.7586,Charged fee $5.00 exceeds disclosed fee $4.64 by 7.8%,2026-03-24 16:14:12
VIO_972F8BBE4C36,TXN_8D3AA6EA59F8,R1,high,5.43,5.73,0.3,5.5249,Charged fee $5.73 exceeds disclosed fee $5.43 by 5.5%,2026-03-24 16:14:12
VIO_52045A506B7B,TXN_C0FF38107B84,R1,medium,2.69,2.81,0.12,4.461,Charged fee $2.81 exceeds disclosed fee $2.69 by 4.5%,2026-03-24 16:14:12
VIO_DC928EF3BA73,TXN_44E51957343F,R1,medium,5.67,5.83,0.16,2.8219,Charged fee $5.83 exceeds disclosed fee $5.67 by 2.8%,2026-03-24 16:14:12
VIO_A71A494A5C55,TXN_8B9CFC55534E,R1,medium,4.65,4.88,0.23,4.9462,Charged fee $4.88 exceeds disclosed fee $4.65 by 4.9%,2026-03-24 16:14:12
VIO_46FF35F1AC88,TXN_2C45D89B3EB1,R1,high,5.77,6.18,0.41,7.1057,Charged fee $6.18 exceeds disclosed fee $5.77 by 7.1%,2026-03-24 16:14:12
VIO_98D89B9CC17A,TXN_9B7229931CAB,R1,medium,3.28,3.42,0.14,4.2683,Charged fee $3.42 exceeds disclosed fee $3.28 by 4.3%,2026-03-24 16:14:12
VIO_B729C6C99C71,TXN_DC4AC7ED627C,R1,high,5.97,6.43,0.46,7.7052,Charged fee $6.43 exceeds disclosed fee $5.97 by 7.7%,2026-03-24 16:14:12
VIO_E64B916B8EF5,TXN_9229D15194D2,R1,medium,4.87,5.08,0.21,4.3121,Charged fee $5.08 exceeds disclosed fee $4.87 by 4.3%,2026-03-24 16:14:12
VIO_226798AD49B1,TXN_76876B959156,R1,high,3.23,3.48,0.25,7.7399,Charged fee $3.48 exceeds disclosed fee $3.23 by 7.7%,2026-03-24 16:14:12
VIO_6D7E17BBED0B,TXN_2B3EECDFFB32,R1,medium,5.72,5.9,0.18,3.1469,Charged fee $5.90 exceeds disclosed fee $5.72 by 3.1%,2026-03-24 16:14:12
VIO_8FBF08956BB7,TXN_94527998B173,R1,medium,4.47,4.6,0.13,2.9083,Charged fee $4.60 exceeds disclosed fee $4.47 by 2.9%,2026-03-24 16:14:12
VIO_B5BBBAEC3EE3,TXN_5393D78A9E9A,R1,medium,5.05,5.3,0.25,4.9505,Charged fee $5.30 exceeds disclosed fee $5.05 by 5.0%,2026-03-24 16:14:12
VIO_A75FB3674CB8,TXN_A8BED4B27827,R1,high,4.81,5.06,0.25,5.1975,Charged fee $5.06 exceeds disclosed fee $4.81 by 5.2%,2026-03-24 16:14:12
VIO_6F2FBD8E06A5,TXN_5F983FB8B113,R1,medium,6.75,6.95,0.2,2.963,Charged fee $6.95 exceeds disclosed fee $6.75 by 3.0%,2026-03-24 16:14:12
VIO_E7D80EA66325,TXN_A7E65338F964,R1,high,1.47,1.58,0.11,7.483,Charged fee $1.58 exceeds disclosed fee $1.47 by 7.5%,2026-03-24 16:14:12
VIO_612106316342,TXN_3E660CC9D840,R1,high,5.73,6.02,0.29,5.0611,Charged fee $6.02 exceeds disclosed fee $5.73 by 5.1%,2026-03-24 16:14:12
VIO_205C1E22C5EB,TXN_F7B299ED4BBE,R1,medium,5.51,5.71,0.2,3.6298,Charged fee $5.71 exceeds disclosed fee $5.51 by 3.6%,2026-03-24 16:14:12
VIO_6FB2986788A4,TXN_144969075DDB,R1,high,6.67,7.03,0.36,5.3973,Charged fee $7.03 exceeds disclosed fee $6.67 by 5.4%,2026-03-24 16:14:12
VIO_4F5406722E68,TXN_596BB66F38E4,R1,high,1.96,2.06,0.1,5.102,Charged fee $2.06 exceeds disclosed fee $1.96 by 5.1%,2026-03-24 16:14:12
VIO_4815563E2A4B,TXN_7063845C5EB9,R1,medium,2.55,2.61,0.06,2.3529,Charged fee $2.61 exceeds disclosed fee $2.55 by 2.4%,2026-03-24 16:14:12
VIO_5BF9EED1D144,TXN_0000E61C2FE0,R1,medium,5.87,6.09,0.22,3.7479,Charged fee $6.09 exceeds disclosed fee $5.87 by 3.7%,2026-03-24 16:14:12
VIO_9F324B7909A3,TXN_D9CCCA1E3D72,R1,high,2.71,2.85,0.14,5.1661,Charged fee $2.85 exceeds disclosed fee $2.71 by 5.2%,2026-03-24 16:14:12
VIO_C79CA0862AA6,TXN_1572B4AA0BAD,R1,medium,6.39,6.55,0.16,2.5039,Charged fee $6.55 exceeds disclosed fee $6.39 by 2.5%,2026-03-24 16:14:12
VIO_FB0317F6A066,TXN_CF3E0ED837F0,R1,medium,4.63,4.77,0.14,3.0238,Charged fee $4.77 exceeds disclosed fee $4.63 by 3.0%,2026-03-24 16:14:12
VIO_17A8C72354D8,TXN_25A25495C375,R1,medium,4.64,4.74,0.1,2.1552,Charged fee $4.74 exceeds disclosed fee $4.64 by 2.2%,2026-03-24 16:14:12
VIO_435577A849EE,TXN_D83C82222D31,R1,medium,4,4.18,0.18,4.5,Charged fee $4.18 exceeds disclosed fee $4.00 by 4.5%,2026-03-24 16:14:12
VIO_A5C1160C3A6D,TXN_AAACE66B1423,R1,medium,1.57,1.61,0.04,2.5478,Charged fee $1.61 exceeds disclosed fee $1.57 by 2.5%,2026-03-24 16:14:12
VIO_D2E2C86AC861,TXN_B71B6B2A87AA,R1,high,5.71,6.03,0.32,5.6042,Charged fee $6.03 exceeds disclosed fee $5.71 by 5.6%,2026-03-24 16:14:12
VIO_CAD1E8A1CABE,TXN_E335B2068DA6,R1,medium,5.05,5.17,0.12,2.3762,Charged fee $5.17 exceeds disclosed fee $5.05 by 2.4%,2026-03-24 16:14:12
VIO_518D580A8299,TXN_6F6DFE3A3E99,R1,high,2.93,3.08,0.15,5.1195,Charged fee $3.08 exceeds disclosed fee $2.93 by 5.1%,2026-03-24 16:14:12
VIO_5A253A86DE6B,TXN_D6A0A67B9393,R1,high,1.08,1.16,0.08,7.4074,Charged fee $1.16 exceeds disclosed fee $1.08 by 7.4%,2026-03-24 16:14:12
VIO_6BA0F9933ADC,TXN_5E03BBCF996B,R1,high,4.3,4.54,0.24,5.5814,Charged fee $4.54 exceeds disclosed fee $4.30 by 5.6%,2026-03-24 16:14:12
VIO_76CD8FA51095,TXN_E86AEF8BC76B,R1,high,6.54,7.01,0.47,7.1865,Charged fee $7.01 exceeds disclosed fee $6.54 by 7.2%,2026-03-24 16:14:12
VIO_2C819D221F58,TXN_9380B0B996B6,R1,medium,5.9,6.03,0.13,2.2034,Charged fee $6.03 exceeds disclosed fee $5.90 by 2.2%,2026-03-24 16:14:12
VIO_946805028CD8,TXN_0725DBC4200F,R1,medium,3.52,3.6,0.08,2.2727,Charged fee $3.60 exceeds disclosed fee $3.52 by 2.3%,2026-03-24 16:14:12
VIO_04837F75D019,TXN_A96CA108B583,R1,medium,4.03,4.17,0.14,3.4739,Charged fee $4.17 exceeds disclosed fee $4.03 by 3.5%,2026-03-24 16:14:12
VIO_5D722585376C,TXN_F25D2C3DC11B,R1,medium,5.48,5.68,0.2,3.6496,Charged fee $5.68 exceeds disclosed fee $5.48 by 3.6%,2026-03-24 16:14:12
VIO_365DB049A914,TXN_5AA5CBD3CFE7,R1,high,6.36,6.85,0.49,7.7044,Charged fee $6.85 exceeds disclosed fee $6.36 by 7.7%,2026-03-24 16:14:12
VIO_B06BBDB66ED4,TXN_1FBC8F86BC67,R1,high,3.75,4.05,0.3,8,Charged fee $4.05 exceeds disclosed fee $3.75 by 8.0%,2026-03-24 16:14:12
VIO_C8CEC800080C,TXN_86D1E21DDAD1,R1,high,2.49,2.67,0.18,7.2289,Charged fee $2.67 exceeds disclosed fee $2.49 by 7.2%,2026-03-24 16:14:12
VIO_8C6DD80F0C18,TXN_2F870498242F,R1,high,5.86,6.17,0.31,5.2901,Charged fee $6.17 exceeds disclosed fee $5.86 by 5.3%,2026-03-24 16:14:12
VIO_1263CD42886A,TXN_98E89E17384C,R1,medium,3.09,3.16,0.07,2.2654,Charged fee $3.16 exceeds disclosed fee $3.09 by 2.3%,2026-03-24 16:14:12
VIO_0595A54770A4,TXN_37D70281180E,R1,high,6.97,7.48,0.51,7.3171,Charged fee $7.48 exceeds disclosed fee $6.97 by 7.3%,2026-03-24 16:14:12
VIO_4FC4BA00E5DA,TXN_1038D05038BF,R1,medium,5.29,5.52,0.23,4.3478,Charged fee $5.52 exceeds disclosed fee $5.29 by 4.3%,2026-03-24 16:14:12
VIO_F0889F62F8C7,TXN_BC6E92999CFD,R1,high,2.87,3.09,0.22,7.6655,Charged fee $3.09 exceeds disclosed fee $2.87 by 7.7%,2026-03-24 16:14:12
VIO_D141D4A5EBBE,TXN_54654143F6B6,R1,medium,1.42,1.48,0.06,4.2254,Charged fee $1.48 exceeds disclosed fee $1.42 by 4.2%,2026-03-24 16:14:12
VIO_6C258D3AD296,TXN_F9140992654A,R1,medium,4.98,5.1,0.12,2.4096,Charged fee $5.10 exceeds disclosed fee $4.98 by 2.4%,2026-03-24 16:14:12
VIO_64280529C121,TXN_D3BDEEF712C5,R1,high,5.08,5.35,0.27,5.315,Charged fee $5.35 exceeds disclosed fee $5.08 by 5.3%,2026-03-24 16:14:12
VIO_59583705D2C3,TXN_E11CC57867C9,R1,high,7.91,8.51,0.6,7.5853,Charged fee $8.51 exceeds disclosed fee $7.91 by 7.6%,2026-03-24 16:14:12
VIO_DD3EED952038,TXN_37616983E7D8,R1,medium,3.18,3.25,0.07,2.2013,Charged fee $3.25 exceeds disclosed fee $3.18 by 2.2%,2026-03-24 16:14:12
VIO_1EDE69E239F4,TXN_F485FAA36C14,R1,high,3.35,3.6,0.25,7.4627,Charged fee $3.60 exceeds disclosed fee $3.35 by 7.5%,2026-03-24 16:14:12
VIO_14D588A926AD,TXN_B34C13B40BEC,R1,high,3.92,4.21,0.29,7.398,Charged fee $4.21 exceeds disclosed fee $3.92 by 7.4%,2026-03-24 16:14:12
VIO_75EF3AD79650,TXN_EB83BF7A6B04,R1,high,6.54,6.92,0.38,5.8104,Charged fee $6.92 exceeds disclosed fee $6.54 by 5.8%,2026-03-24 16:14:12
VIO_39AF165ABE71,TXN_4AA9314C0584,R1,medium,6.8,7.06,0.26,3.8235,Charged fee $7.06 exceeds disclosed fee $6.80 by 3.8%,2026-03-24 16:14:12
VIO_587C400CC5B9,TXN_9246270F35A6,R1,medium,5.22,5.46,0.24,4.5977,Charged fee $5.46 exceeds disclosed fee $5.22 by 4.6%,2026-03-24 16:14:12
VIO_CEC82D81B5BD,TXN_7C7DD5102F45,R1,high,7.29,7.85,0.56,7.6818,Charged fee $7.85 exceeds disclosed fee $7.29 by 7.7%,2026-03-24 16:14:12
VIO_BDD927E11045,TXN_522B0D9E099F,R1,high,5.88,6.24,0.36,6.1224,Charged fee $6.24 exceeds disclosed fee $5.88 by 6.1%,2026-03-24 16:14:12
